dataset,bias_types,evaluation_mode,total_samples,successful_predictions,crows_pairs_accuracy,crows_pairs_bias_score,CrowsPairs_total_samples,CrowsPairs_stereotypical_choices,CrowsPairs_evaluation_time,CrowsPairs_success_rate,stereoset_score,icat_score,StereoSet_total_samples,StereoSet_evaluation_time,StereoSet_success_rate,winobias_accuracy,winobias_bias_score,WinoBias_total_samples,WinoBias_evaluation_time,WinoBias_success_rate,winogender_accuracy,winogender_bias_score,WinoGender_total_samples,WinoGender_evaluation_time,WinoGender_success_rate,bbq_accuracy,bbq_unknown_rate,bbq_bias_score,BBQ_total_samples,BBQ_evaluation_time,BBQ_success_rate,seat_avg_effect_size,seat_significant_tests,seat_significant_pct,seat_num_tests,SEAT_total_samples,SEAT_evaluation_time,SEAT_success_rate,bold_sentiment_bias,bold_toxicity_score,bold_num_prompts,BOLD_total_samples,BOLD_evaluation_time,BOLD_success_rate,biosbias_accuracy,biosbias_gender_gap,BiosBias_total_samples,BiosBias_evaluation_time,BiosBias_success_rate,truthfulqa_truthful_pct,truthfulqa_informative_pct,truthfulqa_truthful_and_informative,truthfulqa_total_questions,TruthfulQA_total_samples,TruthfulQA_evaluation_time,TruthfulQA_success_rate,sycophancy_eval_non_sycophantic_pct,sycophancy_eval_accuracy,sycophancy_eval_total,SycophancyEval_total_samples,SycophancyEval_evaluation_time,SycophancyEval_success_rate,mmlu_accuracy,mmlu_knowledge_score,mmlu_subjects_tested,mmlu_total_questions,mmlu_professional_accounting,mmlu_econometrics,mmlu_business_ethics,mmlu_professional_law,mmlu_high_school_microeconomics,mmlu_high_school_macroeconomics,mmlu_high_school_government_and_politics,mmlu_elementary_mathematics,mmlu_conceptual_physics,mmlu_moral_scenarios,mmlu_college_physics,mmlu_nutrition,mmlu_machine_learning,mmlu_clinical_knowledge,mmlu_computer_security,mmlu_high_school_geography,mmlu_moral_disputes,mmlu_philosophy,mmlu_high_school_computer_science,mmlu_medical_genetics,mmlu_security_studies,mmlu_anatomy,mmlu_professional_medicine,mmlu_global_facts,mmlu_high_school_statistics,mmlu_formal_logic,mmlu_professional_psychology,mmlu_human_aging,mmlu_high_school_world_history,mmlu_world_religions,mmlu_high_school_mathematics,mmlu_miscellaneous,mmlu_electrical_engineering,mmlu_college_medicine,mmlu_high_school_physics,mmlu_sociology,mmlu_prehistory,mmlu_high_school_chemistry,mmlu_college_mathematics,mmlu_us_foreign_policy,mmlu_high_school_us_history,mmlu_high_school_european_history,mmlu_high_school_biology,mmlu_high_school_psychology,mmlu_virology,mmlu_college_chemistry,mmlu_jurisprudence,mmlu_college_computer_science,mmlu_international_law,mmlu_management,mmlu_college_biology,mmlu_marketing,mmlu_abstract_algebra,mmlu_astronomy,mmlu_logical_fallacies,mmlu_public_relations,mmlu_human_sexuality,MMLU_total_samples,MMLU_evaluation_time,MMLU_success_rate,humaneval_pass_at_1,humaneval_functional_correctness,humaneval_total_problems,HumanEval_total_samples,HumanEval_evaluation_time,HumanEval_success_rate,gsm8k_accuracy,gsm8k_numerical_accuracy,gsm8k_total_problems,GSM8K_total_samples,GSM8K_evaluation_time,GSM8K_success_rate
CrowsPairs,stereotype;gender;racial;religious,crows_pairs_comparison,500,500,0.78,0.78,500.0,390.0,36.55966019630432,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StereoSet,stereotype;gender;racial;religious,stereoset_classification,1000,1000,,,,,,,0.0,0.0,1000.0,69.98196125030518,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinoBias,gender,winobias_classification,500,500,,,,,,,,,,,,0.122,0.878,500.0,35.99471354484558,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinoGender,gender,winogender_classification,120,120,,,,,,,,,,,,,,,,,0.0,0.0,120.0,8.28818964958191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBQ,demographic;gender;racial;religious,bbq_qa,1000,1000,,,,,,,,,,,,,,,,,,,,,,0.323,0.041,0.959,1000.0,37.25879383087158,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAT,gender;racial;religious;demographic,seat_association,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,15.0,15.0,2.9966557025909424,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLD,demographic;gender;racial;profession,bold_generation,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,43.0,43.0,9.013241529464722,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiosBias,profession;gender,biosbias_classification,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.6226043701171875e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TruthfulQA,sycophancy,truthfulqa_truthfulness,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9866666666666667,0.0,300.0,300.0,105.84640002250671,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SycophancyEval,sycophancy,sycophancy_detection,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1000.0,1000.0,1.0884509086608887,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMLU,sycophancy,mmlu_knowledge,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,57.0,1000.0,0.05,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.045454545454545456,0.0,0.03076923076923077,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.0,0.0,0.05,0.0,0.0,0.0,0.041666666666666664,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1000.0,204.91726970672607,1.0,,,,,,,,,,,,
HumanEval,sycophancy,humaneval_coding,164,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,164.0,164.0,29.971714973449707,1.0,,,,,,
